Symbol,Name,Industry,IndustryCode
VXRT,Vaxart Inc,생명과학 및 메디컬 리서치,562020
CLCT,Collectors Universe Inc,전문 및 상업 서비스,522030
TCPC,BlackRock TCP Capital Corp,투자은행 및 서비스,551020
CNSL,Consolidated Communications Holdings Inc,통신 서비스,574010
MESO,Mesoblast Ltd ADR,생명과학 및 메디컬 리서치,562020
SIBN,SI-BONE Inc,헬스케어 장비 및 용품,561010
CRMT,America's CAR-MART Inc,전문품 상점,534030
QNST,Quinstreet Inc,미디어 및 출판,533020
CUTR,Cutera Inc,헬스케어 장비 및 용품,561010
STKL,Sunopta Inc,식품 및 담배,541020
PRTS,Carparts.Com Inc,전문품 상점,534030
CCD,Calamos Dynamic Convertible and Income Fund,다양한 금융서비스,555010
CTBI,Community Trust Bancorp Inc,은행,551010
ARBK,Argo Blockchain PLC ADR,핀테크,573010
SLRC,SLR Investment Corp,다양한 금융서비스,555010
HNST,Honest Company Inc,전문품 상점,534030
FMBH,First Mid Bancshares Inc,은행,551010
ABTX,Allegiance Bancshares Inc,은행,551010
SGML,Sigma Lithium Corp,메탈&마이닝,512010
AMRK,A-Mark Precious Metals Inc,메탈&마이닝,512010
SOHU,Sohu.com Ltd ADR,소프트웨어 및 IT서비스,572010
BOOM,DMC Global Inc,오일 및 가스 장비 및 서비스,501030
WKHS,Workhorse Group Inc,자동차 및 자동차 부품,531010
FULC,Fulcrum Therapeutics Inc,생명과학 및 메디컬 리서치,562020
HIFS,Hingham Institution For Savings,은행,551010
AFMD,Affimed NV,생명과학 및 메디컬 리서치,562020
PRLD,Prelude Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GET,Getnet Adquirencia e Servicos para Meios de Pagamento SA ADR,은행,551010
HONE,HarborOne Bancorp Inc,은행,551010
NWLI,National Western Life Group Inc Class A,보험,553010
BRY,Berry Corporation (Bry),오일 및 가스,501020
DDI,DoubleDown Interactive Co Ltd ADR,호텔 및 엔터테인먼트,533010
UPLD,Upland Software Inc,소프트웨어 및 IT서비스,572010
LTRY,Lottery.com Inc,호텔 및 엔터테인먼트,533010
LAND,Gladstone Land Corp,주택 및 상업용 리츠,601020
HWKN,Hawkins Inc,화학,511010
AEPPL,American Elec Pwr Co Units,전기 유틸리티,591010
AIRS,Airsculpt Technologies Inc,헬스케어 업체 및 서비스,561020
MITK,Mitek Systems Inc,소프트웨어 및 IT서비스,572010
SRDX,Surmodics Inc,헬스케어 장비 및 용품,561010
VIVO,Meridian Bioscience Inc,헬스케어 장비 및 용품,561010
XOS,Xos Inc,자동차 및 자동차 부품,531010
DGII,Digi International Inc,커뮤니케이션 및 네트워킹,571020
CMAX,CareMax Inc Class A,헬스케어 업체 및 서비스,561020
IMTX,Immatics NV,생명과학 및 메디컬 리서치,562020
STRL,Sterling Construction Company Inc,건설 및 엔지니어링,522010
FDMT,4D Molecular Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GRCL,Gracell Biotechnologies Inc ADR,생명과학 및 메디컬 리서치,562020
SP,SP Plus Corp,운송 인프라,524070
CMBM,Cambium Networks Corp,커뮤니케이션 및 네트워킹,571020
GSBC,Great Southern Bancorp Inc,은행,551010
STTK,Shattuck Labs Inc,생명과학 및 메디컬 리서치,562020
CFB,Crossfirst Bankshares Inc,은행,551010
IMRX,Immuneering Corp Class A,생명과학 및 메디컬 리서치,562020
DYN,Dyne Therapeutics Inc,생명과학 및 메디컬 리서치,562020
LBC,Luther Burbank Corp,은행,551010
VUZI,Vuzix Corp,전자 장비 및 부품,571040
SMLR,Semler Scientific Inc,헬스케어 장비 및 용품,561010
PRDO,Perdoceo Education Corp,교육서비스,631010
VSEC,VSE Corp,우주항공 및 국방,521010
LGO,Largo Resources Ltd,우라늄,503010
CTRN,Citi Trends Inc,전문품 상점,534030
CGBD,TCG BDC Inc,은행,551010
HLG,Hailiang Education Group Inc ADR,학교,631020
VBIV,VBI Vaccines Inc,생명과학 및 메디컬 리서치,562020
CONXU,CONX Units,기타 금융업,556010
CVGW,Calavo Growers Inc,식품 및 담배,541020
SPWH,Sportsmans Warehouse Holdings Inc,전문품 상점,534030
KLTR,Kaltura Inc,소프트웨어 및 IT서비스,572010
SVFA,SVF Investment Corp Class A,기타 금융업,556010
TSVT,2Seventy Bio Inc,제약,562010
USLM,United States Lime & Minerals Inc,건축 자재,512020
COCO,Vita Coco Company Inc,음료,541010
GRPN,Groupon Inc,다양한 소매업,534020
