CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_GAP_BUY,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A285490,노바텍,"[16.42, 44.1, 42.97]","[18.92, 19.29, 11.0]","[3.39, 5.96, 3.72]","[55, 293, 329]","[55, 271, 347]","[0.54, 0.51, 0.49, 0.58, 0.56]","[35850, 35900, 37850, 38100, 37750]","[27252, 26441, 68670, 32084, 28346]","[0.0, 0.0, 0.0, 0.0, 89.0]",35825,48473,0.56,37750,37090,36115,101.32,101.72,99.34,80.0,137.48,28346,89.0,N,34.5,Y,N,Y,N,N,Y
A270870,뉴트리,"[7.79, 17.94, 30.0, 25.71]","[39.26, 13.21, 11.78, 8.84]","[2.25, 2.19, 3.1, 2.01]","[99, 120, 229, 232]","[21, 95, 194, 204]","[3.43, 3.47, 3.48, 3.46, 3.46]","[19650, 19800, 19900, 19850, 19750]","[13651, 7307, 14192, 11148, 8888]","[0.0, 0.0, 0.0, 0.0, 102.0]",19150,13887,3.46,19750,19790,19365,100.51,100.51,99.24,93.16,219.49,8888,102.0,N,20.36,Y,N,Y,N,N,Y
A119860,다나와,"[23.63, 25.11, 19.65]","[13.22, 13.0, 11.85]","[2.82, 2.91, 2.15]","[284, 378, 349]","[236, 309, 290]","[10.83, 10.87, 10.9, 10.86, 10.87]","[22750, 23100, 23100, 23200, 23200]","[35685, 24952, 35376, 27512, 22822]","[0.0, 0.0, 0.0, 0.0, 3.0]",22525,33003,10.87,23200,23070,22750,100.43,100.86,98.92,90.52,179.09,22822,3.0,N,22.8,N,N,Y,N,N,Y
A023590,다우기술,"[14.62, 18.85, 21.11]","[4.6, 3.57, 2.72]","[0.62, 0.6, 0.5]","[5075, 10154, 12572]","[3959, 6794, 9142]",[22.18],[22050],[59074],[79.0],22525,65324,22.18,22050,22420,22525,102.04,102.04,99.77,87.07,134.69,59074,79.0,Y,18.19,Y,N,N,Y,N,Y
A009190,대양금속,"[7.06, -0.91, 17.39]","[113.98, -237.48, 13.84]","[7.89, 2.15, 2.2]","[32, 11, 152]","[35, -7, 152]","[0.95, 1.34, 1.31, 1.47, 1.4]","[4945, 4780, 4990, 4980, 4890]","[1896191, 1675391, 6213581, 2085374, 1494916]","[0.0, 0.0, 0.0, 0.0, 50.0]",4307,1243587,1.4,4890,4917,4788,104.09,104.09,100.0,76.89,130.88,1494916,50.0,N,7.85,N,N,Y,N,Y,Y
A047040,대우건설,"[8.8, 11.06, 16.47]","[9.44, 7.3, 4.95]","[0.79, 0.77, 0.74]","[3641, 5583, 7383]","[2012, 2826, 4849]","[10.89, 10.83, 10.92, 10.97, 10.94]","[6990, 7070, 7100, 7130, 7070]","[2026317, 1406865, 1653505, 1744725, 1879915]","[0.0, 0.0, 0.0, 0.0, 100.0]",7075,4618747,10.94,7070,7072,7112,101.27,102.26,99.29,74.96,134.94,1879915,100.0,Y,12.11,Y,N,Y,Y,N,Y
A078600,대주전자재료,"[-1.11, 6.12, 21.24]","[-301.11, 140.54, 72.1]","[3.25, 8.09, 12.22]","[27, 90, 176]","[-7, 53, 230]","[13.51, 13.55, 13.6, 13.67, 13.61]","[91300, 91400, 93300, 93600, 93000]","[137257, 89796, 150838, 85384, 117337]","[0.0, 0.0, 0.0, 0.0, -182.0]",88000,148123,13.61,93000,92520,89000,102.04,102.26,99.46,43.49,140.32,117337,-182.0,Y,8.75,Y,N,Y,N,N,N
A054670,대한뉴팜,"[29.27, -16.82, 22.15]","[9.8, -17.87, 9.97]","[2.39, 2.99, 1.86]","[207, 246, 267]","[152, -101, 157]","[1.13, 1.33, 1.61, 1.63, 1.76]","[11400, 11600, 11650, 11450, 12500]","[154858, 195582, 163970, 142380, 1042434]","[0.0, 0.0, 0.0, 0.0, -579.0]",11075,140423,1.76,12500,11720,11380,92.0,100.8,90.8,78.32,102.0,1042434,-579.0,N,11.53,Y,Y,Y,N,Y,N
A084010,대한제강,"[6.73, 10.21, 24.75]","[4.93, 5.26, 2.71]","[0.29, 0.45, 0.52]","[420, 818, 2018]","[296, 531, 1637]","[10.06, 10.06, 10.11, 9.86, 9.68]","[21050, 21400, 22150, 22100, 21300]","[197031, 131092, 416499, 155405, 230319]","[0.0, 0.0, 0.0, 0.0, 110.0]",22000,285492,9.68,21300,21600,21695,104.46,104.69,99.06,63.38,124.88,230319,110.0,Y,13.9,Y,N,Y,Y,N,Y
A005880,대한해운,"[10.94, 11.47, 1.1, 21.58]","[6.95, 6.21, 84.53, 3.4]","[0.7, 0.67, 0.93, 0.63]","[1350, 1288, 1459, 1925]","[783, 1010, 275, 2482]","[6.03, 6.07, 6.06, 6.12, 6.15]","[2800, 2805, 2765, 2795, 2745]","[1997384, 1287457, 1980208, 1145874, 1347530]","[0.0, 0.0, 0.0, 0.0, 148.0]",2905,3433680,6.15,2745,2782,2836,102.37,102.37,99.09,73.95,145.36,1347530,148.0,N,11.27,N,N,Y,Y,N,Y
