DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-07,A031980,피에스케이홀딩스,2.43,14000,39361,14250,74225,14570,92272,14650,61916,10595,10776,-23.0,"{'시가': '13750', '고가': '14050', '저가': '13600', '52주 최저': '9920', '52주 최고': '18550'}"
2022-04-07,A239890,피엔에이치테크,3.03,32200,89982,33060,125934,32085,137568,31975,124141,2137,2573,-36.0,"{'시가': '32400', '고가': '32500', '저가': '31400', '52주 최저': '15700', '52주 최고': '56700'}"
2022-04-07,A137400,피엔티,8.27,49700,154790,50390,172203,50585,248287,50550,171350,6675,6991,15.0,"{'시가': '50000', '고가': '50000', '저가': '49000', '52주 최저': '20350', '52주 최고': '55000'}"
2022-04-07,A128660,피제이메탈,0.4,5500,183114,5590,272858,5670,618750,5645,362958,7921,13713,36.0,"{'시가': '5590', '고가': '5680', '저가': '5500', '52주 최저': '2665', '52주 최고': '7910'}"
2022-04-07,A166090,하나머티리얼즈,25.63,53700,116564,54780,69566,55070,103160,55500,73587,1513,4595,58.0,"{'시가': '52700', '고가': '54000', '저가': '52300', '52주 최저': '40700', '52주 최고': '65800'}"
2022-04-07,A003380,하림지주,7.16,10100,181615,10450,420330,10490,344743,10500,307363,58391,28632,-53.0,"{'시가': '10200', '고가': '10300', '저가': '10000', '52주 최저': '8550', '52주 최고': '12800'}"
2022-04-07,A126700,하이비젼시스템,6.28,20200,139428,20270,113735,20300,149280,20300,128476,27979,25953,-207.0,"{'시가': '19850', '고가': '20200', '저가': '19850', '52주 최저': '12700', '52주 최고': '26700'}"
2022-04-07,A004590,한국가구,0.41,7300,507254,7858,1648272,7743,3782516,7865,2406435,13081,26545,103.0,"{'시가': '7650', '고가': '7690', '저가': '7290', '52주 최저': '5320', '52주 최고': '9070'}"
2022-04-07,A039340,한국경제TV,9.53,6840,71008,7042,24724,7113,20745,7155,16041,19878,9435,-88.0,"{'시가': '7060', '고가': '7090', '저가': '6730', '52주 최저': '6300', '52주 최고': '9250'}"
2022-04-07,A034950,한국기업평가,75.87,81400,1490,81300,1961,81030,1767,80800,1568,341,1493,100.0,"{'시가': '82100', '고가': '82200', '저가': '81300', '52주 최저': '70700', '52주 최고': '89200'}"
2022-04-07,A002960,한국쉘석유,62.91,252500,1196,253100,1277,253300,1325,253500,1212,711,1003,100.0,"{'시가': '252000', '고가': '253000', '저가': '252000', '52주 최저': '240000', '52주 최고': '294000'}"
2022-04-07,A006200,한국전자홀딩스,8.03,1860,364967,1889,1594770,1874,1007674,1867,443835,57191,111396,-23.0,"{'시가': '1855', '고가': '1895', '저가': '1835', '52주 최저': '1195', '52주 최고': '2740'}"
2022-04-07,A071055,한국금융지주우,15.52,67900,14872,68320,11356,67830,11968,67950,12344,1527,1284,25.0,"{'시가': '68300', '고가': '68700', '저가': '67500', '52주 최저': '56500', '52주 최고': '106000'}"
2022-04-07,A071050,한국금융지주,35.07,75300,141166,76940,136046,76820,142656,76550,133037,4855,23624,1217.0,"{'시가': '75800', '고가': '76100', '저가': '75300', '52주 최저': '69200', '52주 최고': '121000'}"
